nbtot,nomcategorie,nommagasin,annee
15,écran,Magasin Alger,2020
13,écran,Magasin Alger,2021
14,écran,Magasin Alger,2022
19,écran,Magasin Alger,2023
13,écran,Magasin Alger,2024
74,écran,Magasin Alger,
16,écran,Magasin Amsterdam,2020
17,écran,Magasin Amsterdam,2021
15,écran,Magasin Amsterdam,2022
20,écran,Magasin Amsterdam,2023
18,écran,Magasin Amsterdam,2024
86,écran,Magasin Amsterdam,
16,écran,Magasin Ankara,2020
19,écran,Magasin Ankara,2021
16,écran,Magasin Ankara,2022
12,écran,Magasin Ankara,2023
18,écran,Magasin Ankara,2024
81,écran,Magasin Ankara,
16,écran,Magasin Bogota,2020
25,écran,Magasin Bogota,2021
16,écran,Magasin Bogota,2022
19,écran,Magasin Bogota,2023
8,écran,Magasin Bogota,2024
84,écran,Magasin Bogota,
17,écran,Magasin Brasilia,2020
13,écran,Magasin Brasilia,2021
19,écran,Magasin Brasilia,2022
13,écran,Magasin Brasilia,2023
19,écran,Magasin Brasilia,2024
81,écran,Magasin Brasilia,
19,écran,Magasin Copenhague,2020
11,écran,Magasin Copenhague,2021
15,écran,Magasin Copenhague,2022
20,écran,Magasin Copenhague,2023
11,écran,Magasin Copenhague,2024
76,écran,Magasin Copenhague,
24,écran,Magasin Dublin,2020
11,écran,Magasin Dublin,2021
13,écran,Magasin Dublin,2022
22,écran,Magasin Dublin,2023
18,écran,Magasin Dublin,2024
88,écran,Magasin Dublin,
18,écran,Magasin Jakarta,2020
22,écran,Magasin Jakarta,2021
15,écran,Magasin Jakarta,2022
16,écran,Magasin Jakarta,2023
12,écran,Magasin Jakarta,2024
83,écran,Magasin Jakarta,
18,écran,Magasin johannesbourg,2020
16,écran,Magasin johannesbourg,2021
19,écran,Magasin johannesbourg,2022
19,écran,Magasin johannesbourg,2023
25,écran,Magasin johannesbourg,2024
97,écran,Magasin johannesbourg,
19,écran,Magasin Lisbonne,2020
20,écran,Magasin Lisbonne,2021
14,écran,Magasin Lisbonne,2022
16,écran,Magasin Lisbonne,2023
18,écran,Magasin Lisbonne,2024
87,écran,Magasin Lisbonne,
16,écran,Magasin Londres,2020
18,écran,Magasin Londres,2021
14,écran,Magasin Londres,2022
12,écran,Magasin Londres,2023
16,écran,Magasin Londres,2024
76,écran,Magasin Londres,
20,écran,Magasin Madrid,2020
17,écran,Magasin Madrid,2021
13,écran,Magasin Madrid,2022
12,écran,Magasin Madrid,2023
12,écran,Magasin Madrid,2024
74,écran,Magasin Madrid,
15,écran,Magasin Melbourne,2020
14,écran,Magasin Melbourne,2021
10,écran,Magasin Melbourne,2022
23,écran,Magasin Melbourne,2023
17,écran,Magasin Melbourne,2024
79,écran,Magasin Melbourne,
15,écran,Magasin Mexico,2020
15,écran,Magasin Mexico,2021
18,écran,Magasin Mexico,2022
9,écran,Magasin Mexico,2023
18,écran,Magasin Mexico,2024
75,écran,Magasin Mexico,
10,écran,Magasin New Delhi,2020
9,écran,Magasin New Delhi,2021
20,écran,Magasin New Delhi,2022
19,écran,Magasin New Delhi,2023
18,écran,Magasin New Delhi,2024
76,écran,Magasin New Delhi,
21,écran,Magasin Nigeria,2020
14,écran,Magasin Nigeria,2021
13,écran,Magasin Nigeria,2022
11,écran,Magasin Nigeria,2023
22,écran,Magasin Nigeria,2024
81,écran,Magasin Nigeria,
9,écran,Magasin Ottawa,2020
18,écran,Magasin Ottawa,2021
20,écran,Magasin Ottawa,2022
17,écran,Magasin Ottawa,2023
23,écran,Magasin Ottawa,2024
87,écran,Magasin Ottawa,
12,écran,Magasin Pékin,2020
22,écran,Magasin Pékin,2021
16,écran,Magasin Pékin,2022
20,écran,Magasin Pékin,2023
16,écran,Magasin Pékin,2024
86,écran,Magasin Pékin,
13,écran,Magasin Paris,2020
11,écran,Magasin Paris,2021
15,écran,Magasin Paris,2022
11,écran,Magasin Paris,2023
11,écran,Magasin Paris,2024
61,écran,Magasin Paris,
19,écran,Magasin Rome,2020
29,écran,Magasin Rome,2021
22,écran,Magasin Rome,2022
9,écran,Magasin Rome,2023
21,écran,Magasin Rome,2024
100,écran,Magasin Rome,
23,écran,Magasin San José,2020
17,écran,Magasin San José,2021
18,écran,Magasin San José,2022
15,écran,Magasin San José,2023
14,écran,Magasin San José,2024
87,écran,Magasin San José,
6,écran,Magasin Tokyo,2020
15,écran,Magasin Tokyo,2021
17,écran,Magasin Tokyo,2022
13,écran,Magasin Tokyo,2023
23,écran,Magasin Tokyo,2024
74,écran,Magasin Tokyo,
21,écran,Magasin Washington,2020
18,écran,Magasin Washington,2021
17,écran,Magasin Washington,2022
14,écran,Magasin Washington,2023
16,écran,Magasin Washington,2024
86,écran,Magasin Washington,
1879,écran,,
22,actionneur,Magasin Alger,2020
26,actionneur,Magasin Alger,2021
20,actionneur,Magasin Alger,2022
22,actionneur,Magasin Alger,2023
24,actionneur,Magasin Alger,2024
114,actionneur,Magasin Alger,
30,actionneur,Magasin Amsterdam,2020
25,actionneur,Magasin Amsterdam,2021
23,actionneur,Magasin Amsterdam,2022
21,actionneur,Magasin Amsterdam,2023
24,actionneur,Magasin Amsterdam,2024
123,actionneur,Magasin Amsterdam,
26,actionneur,Magasin Ankara,2020
26,actionneur,Magasin Ankara,2021
31,actionneur,Magasin Ankara,2022
21,actionneur,Magasin Ankara,2023
20,actionneur,Magasin Ankara,2024
124,actionneur,Magasin Ankara,
21,actionneur,Magasin Bogota,2020
25,actionneur,Magasin Bogota,2021
25,actionneur,Magasin Bogota,2022
20,actionneur,Magasin Bogota,2023
18,actionneur,Magasin Bogota,2024
109,actionneur,Magasin Bogota,
27,actionneur,Magasin Brasilia,2020
27,actionneur,Magasin Brasilia,2021
31,actionneur,Magasin Brasilia,2022
26,actionneur,Magasin Brasilia,2023
25,actionneur,Magasin Brasilia,2024
136,actionneur,Magasin Brasilia,
28,actionneur,Magasin Copenhague,2020
17,actionneur,Magasin Copenhague,2021
19,actionneur,Magasin Copenhague,2022
27,actionneur,Magasin Copenhague,2023
22,actionneur,Magasin Copenhague,2024
113,actionneur,Magasin Copenhague,
20,actionneur,Magasin Dublin,2020
20,actionneur,Magasin Dublin,2021
25,actionneur,Magasin Dublin,2022
18,actionneur,Magasin Dublin,2023
21,actionneur,Magasin Dublin,2024
104,actionneur,Magasin Dublin,
29,actionneur,Magasin Jakarta,2020
22,actionneur,Magasin Jakarta,2021
24,actionneur,Magasin Jakarta,2022
34,actionneur,Magasin Jakarta,2023
18,actionneur,Magasin Jakarta,2024
127,actionneur,Magasin Jakarta,
24,actionneur,Magasin johannesbourg,2020
21,actionneur,Magasin johannesbourg,2021
17,actionneur,Magasin johannesbourg,2022
23,actionneur,Magasin johannesbourg,2023
10,actionneur,Magasin johannesbourg,2024
95,actionneur,Magasin johannesbourg,
20,actionneur,Magasin Lisbonne,2020
32,actionneur,Magasin Lisbonne,2021
18,actionneur,Magasin Lisbonne,2022
24,actionneur,Magasin Lisbonne,2023
29,actionneur,Magasin Lisbonne,2024
123,actionneur,Magasin Lisbonne,
28,actionneur,Magasin Londres,2020
17,actionneur,Magasin Londres,2021
18,actionneur,Magasin Londres,2022
19,actionneur,Magasin Londres,2023
18,actionneur,Magasin Londres,2024
100,actionneur,Magasin Londres,
27,actionneur,Magasin Madrid,2020
28,actionneur,Magasin Madrid,2021
23,actionneur,Magasin Madrid,2022
24,actionneur,Magasin Madrid,2023
23,actionneur,Magasin Madrid,2024
125,actionneur,Magasin Madrid,
26,actionneur,Magasin Melbourne,2020
19,actionneur,Magasin Melbourne,2021
28,actionneur,Magasin Melbourne,2022
28,actionneur,Magasin Melbourne,2023
23,actionneur,Magasin Melbourne,2024
124,actionneur,Magasin Melbourne,
24,actionneur,Magasin Mexico,2020
27,actionneur,Magasin Mexico,2021
25,actionneur,Magasin Mexico,2022
24,actionneur,Magasin Mexico,2023
24,actionneur,Magasin Mexico,2024
124,actionneur,Magasin Mexico,
25,actionneur,Magasin New Delhi,2020
27,actionneur,Magasin New Delhi,2021
15,actionneur,Magasin New Delhi,2022
19,actionneur,Magasin New Delhi,2023
24,actionneur,Magasin New Delhi,2024
110,actionneur,Magasin New Delhi,
22,actionneur,Magasin Nigeria,2020
21,actionneur,Magasin Nigeria,2021
33,actionneur,Magasin Nigeria,2022
19,actionneur,Magasin Nigeria,2023
24,actionneur,Magasin Nigeria,2024
119,actionneur,Magasin Nigeria,
20,actionneur,Magasin Ottawa,2020
28,actionneur,Magasin Ottawa,2021
27,actionneur,Magasin Ottawa,2022
31,actionneur,Magasin Ottawa,2023
23,actionneur,Magasin Ottawa,2024
129,actionneur,Magasin Ottawa,
21,actionneur,Magasin Pékin,2020
34,actionneur,Magasin Pékin,2021
24,actionneur,Magasin Pékin,2022
27,actionneur,Magasin Pékin,2023
24,actionneur,Magasin Pékin,2024
130,actionneur,Magasin Pékin,
24,actionneur,Magasin Paris,2020
22,actionneur,Magasin Paris,2021
28,actionneur,Magasin Paris,2022
18,actionneur,Magasin Paris,2023
20,actionneur,Magasin Paris,2024
112,actionneur,Magasin Paris,
30,actionneur,Magasin Rome,2020
22,actionneur,Magasin Rome,2021
27,actionneur,Magasin Rome,2022
16,actionneur,Magasin Rome,2023
26,actionneur,Magasin Rome,2024
121,actionneur,Magasin Rome,
24,actionneur,Magasin San José,2020
21,actionneur,Magasin San José,2021
12,actionneur,Magasin San José,2022
23,actionneur,Magasin San José,2023
35,actionneur,Magasin San José,2024
115,actionneur,Magasin San José,
22,actionneur,Magasin Tokyo,2020
14,actionneur,Magasin Tokyo,2021
23,actionneur,Magasin Tokyo,2022
31,actionneur,Magasin Tokyo,2023
22,actionneur,Magasin Tokyo,2024
112,actionneur,Magasin Tokyo,
31,actionneur,Magasin Washington,2020
29,actionneur,Magasin Washington,2021
31,actionneur,Magasin Washington,2022
20,actionneur,Magasin Washington,2023
11,actionneur,Magasin Washington,2024
122,actionneur,Magasin Washington,
2711,actionneur,,
32,adaptateur,Magasin Alger,2020
45,adaptateur,Magasin Alger,2021
46,adaptateur,Magasin Alger,2022
43,adaptateur,Magasin Alger,2023
38,adaptateur,Magasin Alger,2024
204,adaptateur,Magasin Alger,
35,adaptateur,Magasin Amsterdam,2020
42,adaptateur,Magasin Amsterdam,2021
43,adaptateur,Magasin Amsterdam,2022
52,adaptateur,Magasin Amsterdam,2023
27,adaptateur,Magasin Amsterdam,2024
199,adaptateur,Magasin Amsterdam,
34,adaptateur,Magasin Ankara,2020
49,adaptateur,Magasin Ankara,2021
31,adaptateur,Magasin Ankara,2022
30,adaptateur,Magasin Ankara,2023
36,adaptateur,Magasin Ankara,2024
180,adaptateur,Magasin Ankara,
47,adaptateur,Magasin Bogota,2020
43,adaptateur,Magasin Bogota,2021
29,adaptateur,Magasin Bogota,2022
43,adaptateur,Magasin Bogota,2023
36,adaptateur,Magasin Bogota,2024
198,adaptateur,Magasin Bogota,
36,adaptateur,Magasin Brasilia,2020
38,adaptateur,Magasin Brasilia,2021
51,adaptateur,Magasin Brasilia,2022
38,adaptateur,Magasin Brasilia,2023
44,adaptateur,Magasin Brasilia,2024
207,adaptateur,Magasin Brasilia,
33,adaptateur,Magasin Copenhague,2020
40,adaptateur,Magasin Copenhague,2021
43,adaptateur,Magasin Copenhague,2022
40,adaptateur,Magasin Copenhague,2023
38,adaptateur,Magasin Copenhague,2024
194,adaptateur,Magasin Copenhague,
47,adaptateur,Magasin Dublin,2020
49,adaptateur,Magasin Dublin,2021
49,adaptateur,Magasin Dublin,2022
40,adaptateur,Magasin Dublin,2023
53,adaptateur,Magasin Dublin,2024
238,adaptateur,Magasin Dublin,
29,adaptateur,Magasin Jakarta,2020
49,adaptateur,Magasin Jakarta,2021
54,adaptateur,Magasin Jakarta,2022
46,adaptateur,Magasin Jakarta,2023
36,adaptateur,Magasin Jakarta,2024
214,adaptateur,Magasin Jakarta,
41,adaptateur,Magasin johannesbourg,2020
31,adaptateur,Magasin johannesbourg,2021
29,adaptateur,Magasin johannesbourg,2022
55,adaptateur,Magasin johannesbourg,2023
27,adaptateur,Magasin johannesbourg,2024
183,adaptateur,Magasin johannesbourg,
37,adaptateur,Magasin Lisbonne,2020
53,adaptateur,Magasin Lisbonne,2021
29,adaptateur,Magasin Lisbonne,2022
50,adaptateur,Magasin Lisbonne,2023
40,adaptateur,Magasin Lisbonne,2024
209,adaptateur,Magasin Lisbonne,
32,adaptateur,Magasin Londres,2020
45,adaptateur,Magasin Londres,2021
42,adaptateur,Magasin Londres,2022
44,adaptateur,Magasin Londres,2023
45,adaptateur,Magasin Londres,2024
208,adaptateur,Magasin Londres,
46,adaptateur,Magasin Madrid,2020
35,adaptateur,Magasin Madrid,2021
42,adaptateur,Magasin Madrid,2022
32,adaptateur,Magasin Madrid,2023
39,adaptateur,Magasin Madrid,2024
194,adaptateur,Magasin Madrid,
41,adaptateur,Magasin Melbourne,2020
40,adaptateur,Magasin Melbourne,2021
42,adaptateur,Magasin Melbourne,2022
40,adaptateur,Magasin Melbourne,2023
41,adaptateur,Magasin Melbourne,2024
204,adaptateur,Magasin Melbourne,
