annee,nomcategorie,sumqte,rang
2020,plateforme de développement,6519,1
2020,capteur/sonde,5729,2
2020,carte d'extension,5647,3
2020,communication,2425,4
2020,cable,2389,5
2020,caméra,1683,6
2020,prototype,1102,7
2020,connecteur,1084,8
2020,batterie,921,9
2020,adaptateur,892,10
2020,actionneur,571,11
2020,jauge,414,12
2020,kit de développement,393,13
2020,écran,378,14
2020,chargeur,363,15
2020,panneau solaire,196,16
2020,antenne,192,17
2021,plateforme de développement,6747,1
2021,carte d'extension,5893,2
2021,capteur/sonde,5806,3
2021,communication,2501,4
2021,cable,2438,5
2021,caméra,1719,6
2021,connecteur,1132,7
2021,prototype,1127,8
2021,adaptateur,952,9
2021,batterie,914,10
2021,actionneur,550,11
2021,kit de développement,396,12
2021,écran,384,13
2021,jauge,370,14
2021,chargeur,351,15
2021,antenne,193,16
2021,panneau solaire,180,17
2022,plateforme de développement,6579,1
2022,capteur/sonde,5770,2
2022,carte d'extension,5715,3
2022,communication,2416,4
2022,cable,2349,5
2022,caméra,1634,6
2022,prototype,1150,7
2022,connecteur,1084,8
2022,adaptateur,983,9
2022,batterie,925,10
2022,actionneur,547,11
2022,chargeur,388,12
2022,jauge,370,13
2022,écran,369,14
2022,kit de développement,367,15
2022,panneau solaire,194,16
2022,antenne,185,17
2023,plateforme de développement,6371,1
2023,capteur/sonde,5674,2
2023,carte d'extension,5602,3
2023,communication,2501,4
2023,cable,2330,5
2023,caméra,1667,6
2023,connecteur,1089,7
2023,prototype,1027,8
2023,adaptateur,978,9
2023,batterie,922,10
2023,actionneur,535,11
2023,chargeur,405,12
2023,kit de développement,384,13
2023,jauge,370,14
2023,écran,361,15
2023,antenne,192,16
2023,panneau solaire,174,17
2024,plateforme de développement,6469,1
2024,capteur/sonde,5541,2
2024,carte d'extension,5454,3
2024,communication,2360,4
2024,cable,2325,5
2024,caméra,1629,6
2024,prototype,1124,7
2024,connecteur,1124,7
2024,adaptateur,933,9
2024,batterie,904,10
2024,actionneur,508,11
2024,chargeur,390,12
2024,écran,387,13
2024,kit de développement,361,14
2024,jauge,355,15
2024,panneau solaire,190,16
2024,antenne,181,17
