idmodele,nommodele,idmarque,idcategorie
ada85,Shield stacking headers,adafruit,connec
ada369,Male DC Power adapter,adafruit,adapt
ada400,Extra-long break-away,adafruit,connec
ada591,Perma-Proto,adafruit,proto
ada743,Waterproof DC Power,adafruit,cab
ada996,Brass Liquid Solenoid Valve,adafruit,act
ada997,Plastic Water Solenoid Valve,adafruit,act
ada1661,uFL SMT,adafruit,connec
ada1865,Edge-Launch SMA,adafruit,connec
ada1918,Analog UV Light,adafruit,capt
ada1980,TSL2591 High Dynamic Range Digital Light,adafruit,capt
ada2652,BME280 I2C or SPI Temperature Humidity Pressure,adafruit,capt
ada2788,DC Jack Adapter,adafruit,cab
ada2895,Non-Latching Mini Relay FeatherWing,adafruit,cartext
ada2900,FeatherWing OLED,adafruit,ecr
ada2922,Adalogger FeatherWing - RTC + SD ,adafruit,cartext
ada3028,DS3231 Precision RTC FeatherWing,adafruit,cartext
ada3072,Adafruit RFM95W LoRa Radio Transceiver,adafruit,com
ada3133,Ultimate GPS FeatherWing,adafruit,cartext
ada3191,Power Relay FeatherWing,adafruit,cartext
ada3201,Ethernet FeatherWing,adafruit,cartext
ada3231,LoRa Radio FeatherWing,adafruit,com
ada3317,VL53L0X Time of Flight Distance,adafruit,capt
ada3405,HUZZAH32 – ESP32,adafruit,platdev
ada3417,FeatherWing Tripler Mini Kit,adafruit,proto
ada3595,APDS9960 Proximity Light RGB Gesture,adafruit,capt
ada3942,HC-SR04 Ultrasonic Sonar Distance,adafruit,capt
ada3967,VL53L1X Time of Flight Distance,adafruit,capt
ada4062,Feather nRF52840 Express,adafruit,platdev
ada4162,VEML7700 Lux,adafruit,capt
ada4210,STEMMA QT / Qwiic JST 100mm,adafruit,cab
ada4253,Quad 2x2 FeatherWing Kit,adafruit,proto
ada4397,STEMMA QT / Qwiic JST 150mm,adafruit,cab
ada4469,Adafruit MLX90640 24x32 IR Thermal,adafruit,cam
ada4483,5-pin JST ESLOV to 4-pin JST,adafruit,cab
ada4566,AHT20 - Temperature & Humidity,adafruit,capt
ada4712,Adafruit LC709203F LiPoly / LiIon Fuel Gauge,adafruit,jaug
ada4714,JST-PH 2-pin Jumper Cable 100mm,adafruit,cab
ada4755,Universal USB/DC/Solar Lithium Ion/Polymer charger,adafruit,charg
ada4775,Metro ESP32-S2,adafruit,platdev
ada4800,MagTag 2.9 Grayscale E-Ink WiFi,adafruit,platdev
ada4827,Combination WiFi + Bluetooth 4.0 USB,adafruit,adapt
ada4829,SGP40 Air Quality,adafruit,capt
ada4831,LTR390 UV Light,adafruit,capt
ada5000,ESP32-S2 Feather PSRAM,adafruit,platdev
ada5046,BME688 Temperature Humidity Pressure Gas,adafruit,capt
