idvente,idmagasin,idclient,datevente,satisfactionclient
v_1,m_22,c_5,2020-01-01,2
v_2,m_13,c_99,2020-01-01,3
v_3,m_10,c_11,2020-01-01,1
v_4,m_12,c_35,2020-01-01,5
v_5,m_17,c_56,2020-01-01,2
v_6,m_4,c_49,2020-01-02,1
v_7,m_11,c_50,2020-01-02,3
v_8,m_8,c_3,2020-01-02,1
v_9,m_23,c_16,2020-01-02,1
v_10,m_8,c_15,2020-01-02,2
v_11,m_21,c_80,2020-01-02,0
v_12,m_14,c_52,2020-01-02,2
v_13,m_16,c_21,2020-01-02,0
v_14,m_18,c_77,2020-01-02,3
v_15,m_23,c_97,2020-01-02,0
v_16,m_6,c_13,2020-01-02,2
v_17,m_1,c_47,2020-01-02,0
v_18,m_13,c_55,2020-01-02,4
v_19,m_7,c_9,2020-01-02,4
v_20,m_4,c_19,2020-01-03,2
v_21,m_6,c_52,2020-01-03,4
v_22,m_4,c_84,2020-01-03,0
v_23,m_12,c_60,2020-01-03,2
v_24,m_17,c_28,2020-01-03,5
v_25,m_9,c_20,2020-01-03,5
v_26,m_7,c_31,2020-01-03,0
v_27,m_16,c_66,2020-01-03,1
v_28,m_23,c_98,2020-01-03,5
v_29,m_15,c_46,2020-01-03,0
v_30,m_13,c_16,2020-01-03,1
v_31,m_10,c_37,2020-01-03,1
v_32,m_21,c_94,2020-01-03,1
v_33,m_8,c_1,2020-01-03,5
v_34,m_13,c_19,2020-01-03,2
v_35,m_12,c_41,2020-01-03,4
v_36,m_18,c_77,2020-01-03,2
v_37,m_6,c_14,2020-01-04,2
v_38,m_21,c_28,2020-01-04,1
v_39,m_20,c_83,2020-01-04,0
v_40,m_12,c_42,2020-01-04,3
v_41,m_17,c_32,2020-01-04,5
v_42,m_4,c_10,2020-01-04,5
v_43,m_17,c_38,2020-01-04,5
v_44,m_8,c_50,2020-01-04,1
v_45,m_11,c_73,2020-01-04,1
v_46,m_5,c_84,2020-01-04,3
v_47,m_4,c_1,2020-01-04,3
v_48,m_18,c_53,2020-01-04,3
v_49,m_13,c_4,2020-01-04,4
v_50,m_9,c_78,2020-01-04,1
v_51,m_4,c_14,2020-01-04,3
v_52,m_17,c_80,2020-01-04,0
v_53,m_10,c_24,2020-01-04,4
v_54,m_21,c_97,2020-01-04,3
v_55,m_2,c_62,2020-01-05,3
v_56,m_21,c_71,2020-01-05,3
v_57,m_21,c_55,2020-01-05,2
v_58,m_16,c_19,2020-01-05,1
v_59,m_12,c_10,2020-01-05,3
v_60,m_10,c_21,2020-01-05,2
v_61,m_15,c_27,2020-01-05,5
v_62,m_10,c_16,2020-01-05,4
v_63,m_1,c_43,2020-01-05,5
v_64,m_12,c_21,2020-01-05,0
v_65,m_12,c_98,2020-01-05,5
v_66,m_13,c_8,2020-01-05,2
v_67,m_13,c_89,2020-01-05,4
v_68,m_20,c_23,2020-01-05,0
v_69,m_21,c_42,2020-01-05,5
v_70,m_4,c_11,2020-01-05,5
v_71,m_9,c_3,2020-01-05,1
v_72,m_19,c_68,2020-01-05,0
v_73,m_11,c_74,2020-01-05,3
v_74,m_5,c_22,2020-01-05,5
v_75,m_8,c_16,2020-01-05,0
v_76,m_13,c_63,2020-01-05,5
v_77,m_16,c_81,2020-01-05,0
v_78,m_12,c_74,2020-01-06,0
v_79,m_16,c_28,2020-01-06,2
v_80,m_9,c_91,2020-01-06,5
v_81,m_17,c_6,2020-01-06,4
v_82,m_10,c_82,2020-01-06,1
v_83,m_1,c_5,2020-01-06,5
v_84,m_2,c_7,2020-01-06,4
v_85,m_17,c_6,2020-01-06,2
v_86,m_14,c_7,2020-01-07,4
v_87,m_5,c_35,2020-01-07,5
v_88,m_17,c_13,2020-01-07,1
v_89,m_4,c_10,2020-01-07,4
v_90,m_22,c_66,2020-01-07,1
v_91,m_6,c_55,2020-01-07,5
v_92,m_16,c_10,2020-01-07,2
v_93,m_3,c_15,2020-01-07,4
v_94,m_21,c_91,2020-01-07,5
v_95,m_10,c_79,2020-01-07,5
v_96,m_19,c_35,2020-01-07,4
v_97,m_6,c_98,2020-01-07,5
v_98,m_8,c_95,2020-01-07,2
v_99,m_14,c_33,2020-01-07,5
v_100,m_23,c_62,2020-01-07,4
v_101,m_10,c_22,2020-01-07,4
v_102,m_11,c_4,2020-01-07,2
v_103,m_21,c_72,2020-01-07,3
v_104,m_4,c_80,2020-01-07,4
v_105,m_15,c_96,2020-01-07,1
v_106,m_13,c_77,2020-01-07,0
v_107,m_23,c_20,2020-01-07,2
v_108,m_14,c_74,2020-01-08,5
v_109,m_5,c_70,2020-01-08,5
v_110,m_14,c_63,2020-01-08,3
v_111,m_16,c_61,2020-01-08,3
v_112,m_1,c_22,2020-01-08,0
v_113,m_9,c_63,2020-01-08,1
v_114,m_11,c_37,2020-01-08,2
v_115,m_3,c_33,2020-01-08,0
v_116,m_4,c_37,2020-01-08,5
v_117,m_5,c_73,2020-01-08,2
v_118,m_1,c_73,2020-01-08,0
v_119,m_23,c_67,2020-01-08,3
v_120,m_6,c_72,2020-01-08,1
v_121,m_14,c_97,2020-01-08,4
v_122,m_17,c_95,2020-01-08,1
v_123,m_10,c_78,2020-01-08,5
v_124,m_19,c_56,2020-01-08,3
v_125,m_10,c_30,2020-01-08,3
v_126,m_8,c_49,2020-01-08,1
v_127,m_17,c_27,2020-01-08,0
v_128,m_21,c_68,2020-01-08,5
v_129,m_21,c_90,2020-01-09,3
v_130,m_13,c_13,2020-01-09,1
v_131,m_18,c_23,2020-01-09,1
v_132,m_22,c_41,2020-01-09,2
v_133,m_19,c_80,2020-01-09,1
v_134,m_1,c_71,2020-01-09,0
v_135,m_11,c_48,2020-01-09,4
v_136,m_4,c_87,2020-01-09,3
v_137,m_11,c_91,2020-01-09,5
v_138,m_20,c_100,2020-01-09,0
v_139,m_12,c_27,2020-01-09,0
v_140,m_18,c_95,2020-01-09,5
v_141,m_6,c_20,2020-01-09,0
v_142,m_21,c_33,2020-01-09,1
v_143,m_12,c_85,2020-01-09,2
v_144,m_20,c_58,2020-01-09,3
v_145,m_23,c_97,2020-01-09,4
v_146,m_9,c_17,2020-01-09,4
v_147,m_5,c_60,2020-01-09,3
v_148,m_14,c_35,2020-01-09,3
v_149,m_21,c_99,2020-01-10,0
v_150,m_18,c_46,2020-01-10,3
